,miscleavage_model,var_subject,var_site,var_species,missingness,method,rmse_mean,rmse_se,n
148,global,0,9,1,0.0,int_median,1.010099056996016,0.13714138451452837,5
149,global,0,9,1,0.0,int_sum,2.977078694492391,0.4256253141524105,5
150,global,0,9,1,0.0,stoich_fraction,0.940724192888174,0.06281744757241742,5
151,global,0,9,1,0.0,stoich_logit,0.38648544819554953,0.04499901674948176,5
152,global,0,9,1,0.0,stoich_pep_mean,0.940724192888174,0.06281744757241742,5
153,global,0,9,1,0.0,stoich_pep_median,0.940724192888174,0.06281744757241742,5
154,global,0,9,1,0.25,int_mean,0.8609112207839171,0.07628893118865494,5
155,global,0,9,1,0.25,int_median,0.9043906105192493,0.07427719292221611,5
156,global,0,9,1,0.25,int_sum,3.511644969701495,0.981770607995547,5
157,global,0,9,1,0.25,stoich_fraction,1.409763039620548,0.11478817353104379,5
158,global,0,9,1,0.25,stoich_logit,6.116667020989393,0.41525019574641364,5
159,global,0,9,1,0.25,stoich_pep_mean,1.409763039620548,0.11478817353104379,5
160,global,0,9,1,0.25,stoich_pep_median,1.409763039620548,0.11478817353104379,5
161,global,0,9,1,0.5,int_mean,1.0095198336786861,0.13062021693498835,5
162,global,0,9,1,0.5,int_median,1.011279679276925,0.1308391802499103,5
163,global,0,9,1,0.5,int_sum,4.267955703106099,1.2577315243671883,5
164,global,0,9,1,0.5,stoich_fraction,1.72143217830574,0.14566768184490927,5
165,global,0,9,1,0.5,stoich_logit,11.149206255034002,0.6066061216407753,5
166,global,0,9,1,0.5,stoich_pep_mean,1.72143217830574,0.14566768184490927,5
167,global,0,9,1,0.5,stoich_pep_median,1.72143217830574,0.14566768184490927,5
168,global,0,9,9,0.0,int_mean,0.8873990945425284,0.11640791713272379,5
169,global,0,9,9,0.0,int_median,0.9877943965328578,0.1498401648850646,5
170,global,0,9,9,0.0,int_sum,3.5536115893686633,0.48246027687109566,5
171,global,0,9,9,0.0,stoich_fraction,1.0667422422953348,0.06481824471920532,5
172,global,0,9,9,0.0,stoich_logit,0.41323723983591415,0.09803713147615502,5
173,global,0,9,9,0.0,stoich_pep_mean,1.0667422422953348,0.06481824471920532,5
174,global,0,9,9,0.0,stoich_pep_median,1.0667422422953348,0.06481824471920532,5
175,global,0,9,9,0.25,int_mean,1.1688842763759868,0.12458840962111045,5
176,global,0,9,9,0.25,int_median,1.2302445290542996,0.13815904496765397,5
177,global,0,9,9,0.25,int_sum,2.8197312180747103,0.5909258975382716,5
178,global,0,9,9,0.25,stoich_fraction,1.333694906455595,0.13880261547187206,5
179,global,0,9,9,0.25,stoich_logit,6.506749912413727,0.7447678367062944,5
180,global,0,9,9,0.25,stoich_pep_mean,1.333694906455595,0.13880261547187206,5
181,global,0,9,9,0.25,stoich_pep_median,1.333694906455595,0.13880261547187206,5
182,global,0,9,9,0.5,int_mean,1.0503399197097152,0.11633820145682945,5
183,global,0,9,9,0.5,int_median,1.039007523671431,0.10927122345447225,5
184,global,0,9,9,0.5,int_sum,2.4688308836699555,0.21967172879998162,5
185,global,0,9,9,0.5,stoich_fraction,1.3589407966279534,0.11714465283643902,5
186,global,0,9,9,0.5,stoich_logit,9.431218479488756,0.7637559781130034,5
187,global,0,9,9,0.5,stoich_pep_mean,1.3589407966279534,0.11714465283643902,5
188,global,0,9,9,0.5,stoich_pep_median,1.3589407966279534,0.11714465283643902,5
189,global,1,0,0,0.0,int_mean,0.7397504822571146,0.08986037072507705,5
190,global,1,0,0,0.0,int_median,0.7705052773567528,0.12009224949703216,5
191,global,1,0,0,0.0,int_sum,2.7483653172542004,0.5423390008815236,5
192,global,1,0,0,0.0,stoich_fraction,4.725053376718716e-16,1.5246190748733945e-17,5
193,global,1,0,0,0.0,stoich_logit,1.1126106276110578e-15,1.4780921339951704e-16,5
194,global,1,0,0,0.0,stoich_pep_mean,4.725053376718716e-16,1.5246190748733945e-17,5
195,global,1,0,0,0.0,stoich_pep_median,4.725053376718716e-16,1.5246190748733945e-17,5
196,global,1,0,0,0.25,int_mean,0.832876067265453,0.10465375527169331,5
197,global,1,0,0,0.25,int_median,0.8439612577362947,0.10323243057576716,5
198,global,1,0,0,0.25,int_sum,2.9188901182911344,0.3706733923308304,5
199,global,1,0,0,0.25,stoich_fraction,0.9500962913504087,0.10289640123976698,5
200,global,1,0,0,0.25,stoich_logit,7.160545241017134,0.5584679813383782,5
201,global,1,0,0,0.25,stoich_pep_mean,0.9500962913504087,0.10289640123976698,5
202,global,1,0,0,0.25,stoich_pep_median,0.9500962913504087,0.10289640123976698,5
203,global,1,0,0,0.5,int_mean,0.8480682815757797,0.07907770461385476,5
204,global,1,0,0,0.5,int_median,0.8488653658384935,0.07984465986833049,5
