protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.0,1.0,1.0,10,zrollup/median,1.2047966971937636,0.1467171716162637,5
100,100,0.0,0.0,1.0,1.0,10,zrollup/sum,1.3722307676993954,0.08789153533523972,5
100,100,0.0,0.0,1.0,9.0,5,rollup/mean,0.7677423945193385,0.1161300689596989,5
100,100,0.0,0.0,1.0,9.0,5,rollup/median,0.9911721219224857,0.0854507362487555,5
100,100,0.0,0.0,1.0,9.0,5,rollup/sum,1.953737334359344,0.26422678408497685,5
100,100,0.0,0.0,1.0,9.0,5,rrollup/mean,0.7677423945193385,0.11613006895969893,5
100,100,0.0,0.0,1.0,9.0,5,rrollup/median,0.7935800485320426,0.12182382474015165,5
100,100,0.0,0.0,1.0,9.0,5,rrollup/sum,1.953737334359344,0.26422678408497685,5
100,100,0.0,0.0,1.0,9.0,5,zrollup/mean,1.0557500963955646,0.1193568282505606,5
100,100,0.0,0.0,1.0,9.0,5,zrollup/median,1.0421066589678714,0.11891985775542313,5
100,100,0.0,0.0,1.0,9.0,5,zrollup/sum,1.2970416158982236,0.12332561343627328,5
100,100,0.0,0.0,1.0,9.0,10,rollup/mean,0.7501316284185129,0.13611056799294202,5
100,100,0.0,0.0,1.0,9.0,10,rollup/median,0.8536936667012585,0.1444395792564122,5
100,100,0.0,0.0,1.0,9.0,10,rollup/sum,2.137847718916067,0.19014888329546012,5
100,100,0.0,0.0,1.0,9.0,10,rrollup/mean,0.750131628418513,0.13611056799294202,5
100,100,0.0,0.0,1.0,9.0,10,rrollup/median,0.8086693287290059,0.1306311878711308,5
100,100,0.0,0.0,1.0,9.0,10,rrollup/sum,2.137847718916067,0.19014888329546006,5
100,100,0.0,0.0,1.0,9.0,10,zrollup/mean,1.1207324184979994,0.0965288490628681,5
100,100,0.0,0.0,1.0,9.0,10,zrollup/median,1.1375460925461014,0.09539174195441182,5
100,100,0.0,0.0,1.0,9.0,10,zrollup/sum,1.450380829446201,0.12032510345906226,5
100,100,0.0,0.0,9.0,0.0,5,rollup/mean,1.2504270040540446,0.16863554847275528,5
100,100,0.0,0.0,9.0,0.0,5,rollup/median,1.2678565500617744,0.16446345556979755,5
100,100,0.0,0.0,9.0,0.0,5,rollup/sum,2.702206036254972,0.49612711634450546,5
100,100,0.0,0.0,9.0,0.0,5,rrollup/mean,1.2504270040540448,0.16863554847275528,5
100,100,0.0,0.0,9.0,0.0,5,rrollup/median,1.2400387701851487,0.1785357428345674,5
