protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.25,0.0,1.0,10,zrollup/mean,1.369153903836621,0.09719436456424967,5
100,100,0.0,0.25,0.0,1.0,10,zrollup/median,1.412794047871433,0.11143460581918917,5
100,100,0.0,0.25,0.0,1.0,10,zrollup/sum,1.9277555628626188,0.17612230647193833,5
100,100,0.0,0.25,0.0,9.0,5,rollup/mean,0.5142547863217448,0.07903110479346692,5
100,100,0.0,0.25,0.0,9.0,5,rollup/median,0.653999123065339,0.08676988086450604,5
100,100,0.0,0.25,0.0,9.0,5,rollup/sum,2.2608907125012125,0.3244860139315535,5
100,100,0.0,0.25,0.0,9.0,5,rrollup/mean,0.5621662027301586,0.07951397190222409,5
100,100,0.0,0.25,0.0,9.0,5,rrollup/median,0.5728469622330093,0.07692228096054296,5
100,100,0.0,0.25,0.0,9.0,5,rrollup/sum,2.224193727326232,0.30059514730934567,5
100,100,0.0,0.25,0.0,9.0,5,zrollup/mean,1.146513604105659,0.09185944686596281,5
100,100,0.0,0.25,0.0,9.0,5,zrollup/median,1.2107201995328798,0.09447157890175725,5
100,100,0.0,0.25,0.0,9.0,5,zrollup/sum,1.8302760981014132,0.22571313457970102,5
100,100,0.0,0.25,0.0,9.0,10,rollup/mean,0.757620096766012,0.10090010438811274,5
100,100,0.0,0.25,0.0,9.0,10,rollup/median,0.909855592760945,0.09426603715474617,5
100,100,0.0,0.25,0.0,9.0,10,rollup/sum,2.8101692762172124,0.33822266009610047,5
100,100,0.0,0.25,0.0,9.0,10,rrollup/mean,0.7705989422427411,0.10706459817103461,5
100,100,0.0,0.25,0.0,9.0,10,rrollup/median,0.8212173371597971,0.09233124972658863,5
100,100,0.0,0.25,0.0,9.0,10,rrollup/sum,2.7656453073763556,0.298759080214017,5
100,100,0.0,0.25,0.0,9.0,10,zrollup/mean,1.2996883009648506,0.025955385700917582,5
100,100,0.0,0.25,0.0,9.0,10,zrollup/median,1.3616017745755566,0.02863841954430394,5
100,100,0.0,0.25,0.0,9.0,10,zrollup/sum,1.6727254947988879,0.05497930655669406,5
100,100,0.0,0.25,1.0,0.0,5,rollup/mean,0.9693585526564344,0.14069478506154937,5
100,100,0.0,0.25,1.0,0.0,5,rollup/median,0.99991004075414,0.149963141664059,5
100,100,0.0,0.25,1.0,0.0,5,rollup/sum,2.474368111534482,0.25066644676916267,5
100,100,0.0,0.25,1.0,0.0,5,rrollup/mean,0.9694819959632076,0.1377092077951352,5
100,100,0.0,0.25,1.0,0.0,5,rrollup/median,1.0469742024186188,0.15707133205513044,5
100,100,0.0,0.25,1.0,0.0,5,rrollup/sum,2.463192185878438,0.24515602171062725,5
100,100,0.0,0.25,1.0,0.0,5,zrollup/mean,1.3175245632166803,0.15310547387663873,5
100,100,0.0,0.25,1.0,0.0,5,zrollup/median,1.3216612690323468,0.15440952444059855,5
100,100,0.0,0.25,1.0,0.0,5,zrollup/sum,1.463665824151185,0.2211580874154421,5
100,100,0.0,0.25,1.0,0.0,10,rollup/mean,0.8232332343106563,0.10906112552160566,5
100,100,0.0,0.25,1.0,0.0,10,rollup/median,0.8946444660916161,0.09693979855702825,5
100,100,0.0,0.25,1.0,0.0,10,rollup/sum,2.332035338804146,0.22834739328173106,5
100,100,0.0,0.25,1.0,0.0,10,rrollup/mean,0.8268285738643482,0.10834725064978358,5
100,100,0.0,0.25,1.0,0.0,10,rrollup/median,0.8619540428911924,0.09834788310116592,5
100,100,0.0,0.25,1.0,0.0,10,rrollup/sum,2.480461193916665,0.25594720735441867,5
100,100,0.0,0.25,1.0,0.0,10,zrollup/mean,1.2355781690219638,0.06283870363762653,5
100,100,0.0,0.25,1.0,0.0,10,zrollup/median,1.2301852870409438,0.0637923228165958,5
100,100,0.0,0.25,1.0,0.0,10,zrollup/sum,1.318071027286988,0.09498477146502159,5
100,100,0.0,0.25,1.0,1.0,5,rollup/mean,0.8304592650760083,0.1838143078539044,5
100,100,0.0,0.25,1.0,1.0,5,rollup/median,0.8573159342271122,0.18947237214147153,5
100,100,0.0,0.25,1.0,1.0,5,rollup/sum,1.9834582090665507,0.33425000064174243,5
100,100,0.0,0.25,1.0,1.0,5,rrollup/mean,0.8340752786682021,0.1792502118620092,5
100,100,0.0,0.25,1.0,1.0,5,rrollup/median,0.8598252609873928,0.1763286023070922,5
100,100,0.0,0.25,1.0,1.0,5,rrollup/sum,2.0000047284540896,0.3357342145040681,5
100,100,0.0,0.25,1.0,1.0,5,zrollup/mean,1.0279666927236997,0.1387672641430016,5
100,100,0.0,0.25,1.0,1.0,5,zrollup/median,1.0276962106267016,0.13623790359607643,5
100,100,0.0,0.25,1.0,1.0,5,zrollup/sum,1.1698537230262764,0.1828209448412169,5
100,100,0.0,0.25,1.0,1.0,10,rollup/mean,1.1594257714678,0.08662140277533611,5
100,100,0.0,0.25,1.0,1.0,10,rollup/median,1.1837192815270572,0.08801885240528609,5
100,100,0.0,0.25,1.0,1.0,10,rollup/sum,3.346043068575823,0.7371549232534875,5
100,100,0.0,0.25,1.0,1.0,10,rrollup/mean,1.186118839469993,0.09212285150002829,5
100,100,0.0,0.25,1.0,1.0,10,rrollup/median,1.2434979331669287,0.09473112033237387,5
100,100,0.0,0.25,1.0,1.0,10,rrollup/sum,3.840227059077389,1.2590524445002436,5
100,100,0.0,0.25,1.0,1.0,10,zrollup/mean,1.3040079776087392,0.02825771303211858,5
100,100,0.0,0.25,1.0,1.0,10,zrollup/median,1.319814891914072,0.02352146384327147,5
100,100,0.0,0.25,1.0,1.0,10,zrollup/sum,1.774856183991437,0.2830674928150544,5
100,100,0.0,0.25,1.0,9.0,5,rollup/mean,0.9414979499968148,0.16964285200288712,5
